X1,anger,disgust,fear,joy,sadness,analytical,confident,tentative,openness,conscientiousness,extraversion,agreeableness,emotional_range
"So this is called the ""Fiction Project."" This is an online space, which is basically a refurbished message board that encourages collaborative fiction writing. ",0,0,0.02,0.13,0.03,0,0,0,0.99,0.48,0.68,0.33,0.46
These ideas are supposed to be adaptable; they should have the potential for evolution; they should be developed by every nation in the world and useful for every nation in the world. ,0,0,0.01,0.13,0.03,0,0,0,0.88,0.98,0.42,0.1,0.93
"And I totally support that, so we're not forcing people to travel. ",0.03,0.02,0.06,0.13,0.02,0,0,0,0.54,0.47,0.79,0.99,0.17
"If you're ever, ever in India, go use this toilet.(Laughter)Chris Luebkeman will tell you why. ",0.02,0.04,0.01,0.13,0.02,0,0,0,0.01,0.06,0.52,0.76,0.22
Observation now allows us to bring that natural process into the design process every day. ,0.01,0,0.03,0.13,0.02,0,0,0,0.78,0.89,0.58,0.63,0.84
"I read it three or four times and I think, ""Is he really endorsing Intelligent Design?",0.01,0,0.04,0.13,0.02,0,0,0,0.95,0.26,0.05,0.56,0.05
So the biggest and the most important thing is our neutral point of view policy. ,0.01,0.01,0.03,0.13,0.02,0,0,0,0.81,0.2,0.8,0.2,0.55
"We talk about leapfrog technologies.I write with Worldchanging, and the one thing we've been talking about is, I learn more on the ground than I've ever learned here. ",0.01,0,0.02,0.13,0.02,0,0,0,0.69,0,0.2,0.09,0.03
"This kind of technology is going to let even more people get into it, I'm looking forward to interacting with all of you over the next few days and seeing how it can apply to your respective fields.Thank you.(Applause)",0,0,0.01,0.13,0.02,0,0,0,0.36,0.93,0.88,0.98,0.26
I have come to think it's one of the most powerful brain systems on Earth for both great joy and great sorrow.And I've also come to think that it's one of three basically different brain systems that evolved from mating and reproduction. ,0,0,0.01,0.13,0.02,0,0,0,0.93,0.74,0.09,0.45,0.14
"And once I choose my main theme, I have to decide: Out of all the styles in music, what kind of style do I want?",0,0,0.02,0.13,0.02,0,0,0,0.58,0.31,0.03,0.1,0.1
"And they're going to answer these questions, whether or not it means not doing all the work I assign and not getting a good grade in my courses. ",0.01,0,0.02,0.13,0.01,0,0,0,0.44,0.92,0.13,0.03,0.41
"You really didn't have that much in common with her, and you figured that out just about the time she threw the engagement ring in your face."" We smirk because we believe that synthetic happiness is not of the same quality as what we might call ""natural happiness.""What are these terms?",0,0,0,0.13,0.01,0,0,0,0.94,0.98,0.95,0.96,0.68
"We all want it; most settle for connection, love's too scary. ",0,0,0.82,0.13,0.01,0,0,0,0.46,0.87,0.55,0.91,0.49
"You may not have the money, or the Supreme Court, but that is not the defining factor.(Applause) (Laughter)And you correct me if I'm wrong. ",0,0,0.02,0.13,0.01,0,0,0,0.94,0.78,0.88,0.84,0.55
"And with a more powerful telescope, you'll be able to see stars and planets in those galaxies, you'll be able to do astrophysics and learn the laws of physics. ",0,0,0.01,0.13,0.01,0,0,0,0.47,0.75,0.14,0.54,0.38
"And I began to think about what I call the ""stewardship of affluence"" and the ""stewardship of influence."" So I believe, essentially, leadership is stewardship. ",0,0,0.05,0.13,0.01,0,0,0,0.89,0.05,0.19,0.11,0.03
Real dependence on this person. ,0.05,0.07,0.07,0.12,0.16,0,0.8,0,0.09,0.05,0.47,0.2,0.01
"Obviously, this is a standard keyboard, but of course I can rescale it to make it work well for my hands. ",0.01,0.01,0.03,0.12,0.03,0.16,0.58,0,0.49,0.94,0.03,0.19,0.87
"OK, everybody imagine books and imagine just tearing out the pages. ",0.02,0.01,0.05,0.12,0.67,0,0,0,0.81,0.28,0.4,0.68,0
It initially goes quite slowly. ,0.04,0.03,0.26,0.12,0.57,0,0,0,0.64,0.24,0.33,0.54,0.11
""" I said, ""It's a basketball. ",0.02,0.02,0.06,0.12,0.53,0,0,0,0.34,0.2,0.22,0.54,0.76
 Water-borne diseases?,0.23,0.06,0.21,0.12,0.47,0,0,0,0.46,0.28,0.53,0.59,0.18
And we have most who lived in absolute poverty were Asians. ,0.07,0,0.02,0.12,0.42,0,0,0,0.48,0.28,0.63,0.56,0.28
"So, this really changed my view of looking at cancer. ",0,0.03,0.08,0.12,0.41,0,0,0,0.15,0.06,0.74,0.73,0
Because here's what's really happening. ,0.06,0.03,0.19,0.12,0.34,0.84,0,0,0.11,0.21,0.4,0.56,0.01
I can split South Asia here. ,0.02,0.03,0.08,0.12,0.29,0,0,0,0.3,0.24,0.5,0.52,0.12
""" Do you get a new blank document?",0.03,0,0.15,0.12,0.25,0,0,0,0.54,0.59,0.57,0.59,0.83
""" Shakespeare said. ",0.07,0.05,0.09,0.12,0.23,0,0,0,0.46,0.27,0.54,0.6,0.35
"600,000 people were displaced. ",0.11,0.16,0.06,0.12,0.22,0,0,0,0.29,0.21,0.61,0.52,0.04
One: so that you can contribute more. ,0.03,0.01,0.1,0.12,0.2,0,0,0,0.51,0.58,0.29,0.89,0.39
They just use Skype. ,0.02,0.01,0.09,0.12,0.2,0,0,0,0.15,0.27,0.52,0.54,0.59
 What's really making all of this happen?,0.08,0.03,0.16,0.12,0.18,0,0,0,0.47,0.29,0.35,0.68,0.02
Fifteen percent said they thought there'd be a pandemic within three years. ,0.01,0,0.09,0.12,0.18,0,0,0,0.46,0.45,0.3,0.67,0.63
The past equals the future. ,0.01,0.01,0.1,0.12,0.18,0,0,0,0.27,0.31,0.51,0.59,0.71
I update the slide show every time I give it. ,0.08,0.02,0.05,0.12,0.17,0,0,0,0.16,0.46,0.01,0.26,0.82
"Over the years, it's gotten easier to use. ",0.03,0.02,0.03,0.12,0.17,0,0,0,0.03,0.15,0.04,0.17,0.73
This country over here is China. ,0.02,0.01,0.22,0.12,0.16,0,0,0,0.44,0.32,0.67,0.56,0.41
"So, to make a long story short, they came to Canada. ",0.01,0.02,0.07,0.12,0.16,0,0,0,0.14,0.32,0.56,0.89,0.56
What does he have to say all these years later?,0.03,0.01,0.06,0.12,0.15,0,0,0,0.05,0.96,0.07,0.84,0.86
"Took about two years, because I'm looking for fat-free design. ",0.01,0.02,0.03,0.12,0.15,0,0,0,0.47,0.5,0.74,0.77,0.35
You have to get kids into schooling. ,0.06,0.04,0.11,0.12,0.14,0,0,0,0.01,0.57,0.52,0.54,0.65
"I mean, she's seven. ",0.04,0.02,0.07,0.12,0.13,0,0,0,0.42,0.23,0.34,0.58,0.07
 Am I going to draw it on the computer?,0.04,0,0.11,0.12,0.13,0,0,0,0.01,0.06,0,0,0.05
Both are waterfront communities that host both industries and residents in close proximity of one another. ,0.02,0.01,0.01,0.12,0.13,0,0,0,0.77,0.44,0.86,0.79,0.26
"Iraq, and then Iraq, and then Iraq. ",0.02,0.01,0.2,0.12,0.13,0,0,0,0.36,0.28,0.55,0.6,0.39
I have a big show with Phillips Auctioneers. ,0.01,0.07,0.12,0.12,0.13,0,0,0,0.35,0.31,0.97,0.86,0.41
"It's endless what you can imagine, in terms of where you can project films and where you can have this communal experience. ",0,0,0.02,0.12,0.13,0,0,0,0.69,0.87,0.26,0.91,0.28
GH: OK. ,0.07,0.04,0.12,0.12,0.12,0,0,0,0.28,0.27,0.54,0.6,0.29
 Have I gotten the right one?,0.07,0.02,0.05,0.12,0.12,0,0,0,0.23,0.16,0,0.39,0.15
"That, I think, is maximal tolerance for religious freedom. ",0.05,0.01,0.09,0.12,0.12,0,0,0,0.88,0.29,0.44,0.26,0.36
I can switch to different data views. ,0.01,0,0.03,0.12,0.12,0,0,0,0.14,0.24,0.56,0.5,0.37
 Control everybody?,0.11,0.03,0.25,0.12,0.11,0,0,0,0.34,0.27,0.54,0.6,0.28
It's a nonprofit association. ,0.05,0.03,0.07,0.12,0.11,0,0,0,0.51,0.29,0.57,0.6,0.41
""" No, no. ",0.05,0.03,0.07,0.12,0.11,0,0,0,0.29,0.27,0.54,0.6,0.29
 No new features. ,0.05,0.03,0.07,0.12,0.11,0,0,0,0.5,0.28,0.54,0.59,0.38
" No, not completely. ",0.05,0.03,0.07,0.12,0.11,0,0,0,0.27,0.27,0.52,0.59,0.26
I had no funding. ,0.05,0.03,0.07,0.12,0.11,0,0,0,0.24,0.27,0.48,0.57,0.38
And hardly anyone responded. ,0.05,0.03,0.07,0.12,0.11,0,0,0,0.2,0.23,0.47,0.57,0.06
There's not enough help. ,0.05,0.03,0.07,0.12,0.11,0,0,0,0.21,0.21,0.3,0.57,0.01
They never really ... ,0.05,0.03,0.07,0.12,0.11,0,0,0,0.17,0.3,0.26,0.57,0.15
I'm not a scientist. ,0.05,0.03,0.07,0.12,0.11,0,0,0,0.56,0.22,0.43,0.55,0.05
I had no plan. ,0.05,0.03,0.07,0.12,0.11,0,0,0,0.11,0.28,0.42,0.54,0.44
"There's no interface, again. ",0.05,0.03,0.07,0.12,0.11,0,0,0,0.16,0.24,0.44,0.53,0.18
There is no engine. ,0.05,0.03,0.07,0.12,0.11,0,0,0,0.52,0.26,0.57,0.52,0.57
It is not true. ,0.05,0.03,0.07,0.12,0.11,0,0,0,0.72,0.3,0.3,0.51,0.41
There is no authorship. ,0.05,0.03,0.07,0.12,0.11,0,0,0,0.58,0.23,0.52,0.32,0.26
That is the surveillance system. ,0.04,0.02,0.09,0.12,0.11,0,0,0,0.76,0.34,0.68,0.54,0.86
It led to a whole variety of ideas. ,0.04,0.03,0.11,0.12,0.11,0,0,0,0.71,0.43,0.26,0.29,0.5
I showed you something that took 20 years to do. ,0.02,0.02,0.05,0.12,0.11,0,0,0,0.04,0.52,0.14,0.92,0.8
And that gives you enormous influence. ,0.06,0.03,0.06,0.12,0.1,0,0,0,0.97,0.4,0.9,0.78,0.6
Sierra Leone down there. ,0.05,0.03,0.07,0.12,0.1,0,0,0,0.25,0.25,0.6,0.58,0.22
It's this holistic integration. ,0.05,0.03,0.07,0.12,0.1,0,0,0,0.39,0.25,0.44,0.33,0.06
It was in Hong Kong. ,0.04,0.03,0.06,0.12,0.1,0,0,0,0.11,0.28,0.54,0.6,0.4
"You're just like your dad,"" who collects instruments. ",0.03,0.04,0.03,0.12,0.1,0,0,0,0.63,0.18,0.76,0.56,0.54
Now this is the Dallas Theater. ,0.03,0.02,0.05,0.12,0.1,0,0,0,0.86,0.48,0.71,0.56,0.86
][Woman: Perhaps. ,0.07,0.33,0.12,0.12,0.09,0,0,0,0.65,0.27,0.55,0.61,0.31
So it's not an AIDS clinic. ,0.04,0.03,0.06,0.12,0.09,0,0,0,0.3,0.21,0.41,0.56,0.11
This is the freaky side coming out. ,0.03,0.04,0.06,0.12,0.09,0,0,0,0.97,0.48,0.78,0.49,0.4
It's then blown up through rapid prototyping to reveal its cellular structure. ,0.03,0,0.07,0.12,0.09,0,0,0,0.57,0.32,0.47,0.18,0.36
What you're seeing here is actually their program on the left. ,0.02,0.01,0.07,0.12,0.09,0,0,0,0.13,0.22,0.55,0.07,0.24
"And it brought in a lot of attention, neither of which I wanted. ",0.01,0.01,0.05,0.12,0.09,0,0,0,0.99,0.07,0.01,0.68,0.07
"Secondly, intelligence is dynamic. ",0.04,0.03,0.06,0.12,0.08,0.69,0,0,0.57,0.28,0.59,0.59,0.33
" I look at it, I know exactly. ",0.02,0.03,0.03,0.12,0.08,0,0,0,0.33,0.4,0.21,0.83,0.41
"They had a gym."" ""Glorious,"" a word we usually reserve for something like a religious experience.Harry S. ",0.01,0,0.02,0.12,0.08,0,0,0,0.61,0.14,0.46,0.35,0.52
The door's open. ,0.16,0.05,0.11,0.12,0.07,0,0,0,0.28,0.27,0.54,0.6,0.34
"Another reviewer called it ""hilarious."" Well, I'm really bothered by the fact that anybody would think that was hilarious. ",0.09,0,0.03,0.12,0.07,0,0,0,0.81,0,0.08,0.89,0.09
"Cars are made from 30,000 components. ",0.09,0.04,0.12,0.12,0.07,0,0,0,0.57,0.28,0.55,0.56,0.43
"And it was defended, believe it or not, by the librarians. ",0.07,0.11,0,0.12,0.07,0,0,0,0.9,0.43,0.03,0.19,0.63
Your picture will be winging its way over the Atlantic. ,0.03,0.02,0.06,0.12,0.07,0,0,0,0.82,0.8,0.9,0.9,0.75
"contribution to global warming, under business as usual. ",0.03,0.02,0.06,0.12,0.07,0,0,0,0.25,0.28,0.78,0.64,0.4
And then he analyzed the data. ,0.03,0.01,0.08,0.12,0.07,0,0,0,0.53,0.56,0.33,0.32,0.82
The linearity is very strong between child survival and money.But let me split sub-Saharan Africa. ,0.02,0.08,0.02,0.12,0.07,0,0,0,0.76,0.01,0.28,0.23,0
"When I was here four years ago, I told the story about an ant climbing a blade of grass. ",0.01,0,0.03,0.12,0.07,0,0,0,0.83,0.03,0.04,0.15,0.34
"(Laughter)They are a claim to you missing resources, and they may be accurate. ",0,0,0.08,0.12,0.07,0,0,0,0.86,0.84,0.59,0.95,0.48
" Much more volatile brown mustard seed, some white wine, a nose hit, much more delicate aromatics. ",0,0.02,0.01,0.12,0.07,0,0,0,0.87,0.17,0.91,0.47,0.32
"So you know, this is a serious solution. ",0.06,0.01,0.16,0.12,0.06,0,0,0,0.39,0.56,0.78,0.66,0.33
"We think visually, we think in sound, we think kinesthetically. ",0.03,0.02,0.11,0.12,0.06,0,0,0,0.68,0.21,0.33,0.62,0.09
So I did a pre-test when they came. ,0.02,0.02,0.11,0.12,0.06,0,0,0,0.02,0.54,0,0.12,0.47
"Now, we've thought about a name for this day, and I'd like to share this with you. ",0.01,0,0.02,0.12,0.06,0,0,0,0.68,0.98,0.95,1,0.8
" Well, you know, you move sheep from point A to point B with it, by hook or by crook. ",0.01,0,0.04,0.12,0.06,0,0,0,0.74,0.87,0.85,0.96,0.99
"And he thought, ""That's a really neat idea!"" So he went to find them. ",0.01,0.01,0.1,0.12,0.06,0,0,0,0.45,0.32,0.13,0.84,0.49
""" ""Yes, we need one as evidence of the class project. ",0.01,0.01,0.14,0.12,0.06,0,0,0,0.67,0.89,0.13,0.47,0.49
Like climbing up into a cave and doing that stuff all the way down there. ,0.01,0.01,0.08,0.12,0.06,0,0,0.26,0.91,0.37,0.8,0.1,0.64
"They have a biological base, just like the aurochs. ",0.01,0.01,0.07,0.12,0.06,0,0,0,0.82,0.25,0.44,0,0.66
"When I do make some money, I'll have one machined for myself. ",0.06,0.03,0.06,0.12,0.05,0,0,0,0.02,0.25,0.06,0.79,0.18
It's too fine and it burns too quickly to be useful for cooking. ,0.05,0.01,0.03,0.12,0.05,0,0,0,0.41,0.71,0.31,0.84,0.62
"Now, children below the age of consent are a special case. ",0.02,0.04,0.01,0.12,0.05,0,0,0,0.98,0.58,0.41,0.57,0.58
What if they made that decision versus to build their own culture?,0.02,0.03,0.04,0.12,0.05,0,0,0,0.66,0.67,0.48,0.27,0.9
And this shows that the concept of developing countries is extremely doubtful. ,0.02,0.01,0.13,0.12,0.05,0,0,0,0.97,0.14,0.42,0.24,0.06
"And then tomorrow, and tomorrow, and tomorrow, and of course tomorrow never comes. ",0.01,0,0.12,0.12,0.05,0,0,0,0.15,0.54,0.42,0.6,0.2
The lesson we learn from this is: you don't have to have a mind to be a beneficiary. ,0.01,0,0.05,0.12,0.05,0,0,0,0.11,0.97,0.03,0.58,0.65
"You can list what you don't like about them, but then you sweep that aside and focus on what you do. ",0,0,0.03,0.12,0.05,0,0,0,0.69,0.98,0.88,0.87,0.86
And that's why we will not launch this without five to 10 million units in the first run. ,0,0,0.1,0.12,0.05,0,0,0,0.13,0.92,0.07,0.14,0.89
You drive along. ,0.16,0.02,0.12,0.12,0.04,0,0,0,0.29,0.29,0.62,0.62,0.61
And I would be very interested to get your responses to this. ,0.03,0.02,0.02,0.12,0.04,0,0,0,0.69,0.72,0.72,0.98,0.32
"And women were regarded as just as economically, socially and sexually powerful as men. ",0.02,0.01,0.02,0.12,0.04,0,0,0,0.84,0.31,0.86,0.57,0.24
"We got an inside look at the gang, from the very bottom up to the very top. ",0.02,0.01,0.03,0.12,0.04,0,0,0,0.63,0.46,0.35,0.49,0.79
We're kind of based loosely on the Mac. ,0.02,0.01,0.06,0.12,0.04,0,0,0,0.94,0.28,0.6,0.18,0.61
"You fall in love with somebody who's somewhat mysterious, in part because mystery elevates dopamine in the brain, probably pushes you over that threshold to fall in love. ",0.01,0,0.02,0.12,0.04,0,0,0,0.87,0.08,0.82,0.86,0.03
"I don't know how we do it.Next week I'm at Electrolux in Sweden, then I'm in Beijing on Friday. ",0.01,0,0.09,0.12,0.04,0,0,0,0,0.45,0.1,0.44,0.13
So that literally was the design of the building. ,0.01,0.02,0.2,0.12,0.04,0,0,0,0.9,0.29,0.61,0.37,0.54
"And locally there you could build particle accelerators, and learn elementary particle physics and chemistry, and so on. ",0.01,0,0.05,0.12,0.04,0,0,0,0.83,0.46,0.59,0.27,0.24
It's about 36 inches wide and it's equipped with a multi-touch sensor. ,0.01,0.02,0.06,0.12,0.04,0,0,0,0.85,0.22,0.67,0.25,0.45
"If you managed to rise to the very top, 200,000 or 400,000 dollars a year is what you'd hope to make. ",0,0,0.1,0.12,0.04,0.35,0,0,0.02,0.44,0.6,0.88,0.95
They bring us the camera; we make up a contact sheet; they figure out which are the two best pictures; and we now spend six hours teaching them about darkrooms. ,0,0,0.02,0.12,0.04,0,0,0,0.47,0.98,0.45,0.68,0.62
" The answer is: The system certainly has software, but no, we're not providing the education content. ",0,0,0.01,0.12,0.04,0,0,0,0.83,0.54,0.73,0.11,0.94
] [And that you give Israel an alibi to carry on?,0.08,0.01,0.02,0.12,0.03,0,0,0,0.55,0.75,0.72,0.83,0.9
" If you're wired to be an anthropologist, you'll be an anthropologist. ",0.03,0.01,0.05,0.12,0.03,0,0,0,0.46,0.13,0.53,0.78,0.11
""" Al Jazeera offered him a job. ",0.02,0.03,0.06,0.12,0.03,0,0,0,0.21,0.28,0.57,0.62,0.37
"This is how they build really large aircraft hangars, for instance, the ones that they did for the A380. ",0.01,0,0.05,0.12,0.03,0,0,0,0.92,0.91,0.44,0.11,0.96
"Say, ""Aye.""Audience: Aye.So the bottom line is, maybe it was where to go to work, and you met the love of your life there, a career decision. ",0,0,0.03,0.12,0.03,0,0,0,0.54,0.97,0.98,0.99,0.96
What kind of economic engine would keep churning if we believed that not getting what we want could make us just as happy as getting it?,0,0,0.04,0.12,0.03,0,0,0,0.53,0.92,0.36,0.86,0.68
"And then they said, ""Do you believe that we're all brothers and sisters on this planet?",0.07,0.02,0.02,0.12,0.02,0,0,0,0.57,0.95,0.91,0.8,0.83
"What I and my colleagues did was put 32 people, who were madly in love, into a functional MRI brain scanner. ",0.02,0,0.01,0.12,0.02,0,0,0,0.85,0.32,0.85,0.95,0.01
"And this should be presented factually, straightforwardly, with no particular spin, to all of the children in the country. ",0.01,0.01,0.02,0.12,0.02,0,0,0,0.87,0.87,0.8,0.23,0.72
"For instance, I think we all enjoyed Hans Rosling's talk, and he really emphasized the fact I've been thinking about for a long time: We have all this great data, but for some reason, it's just sitting there. ",0,0,0.01,0.12,0.02,0,0,0,0.5,0.59,0.26,0.9,0.14
"People will start an article on some interesting topic, other people will find that intriguing and jump in and help and make it much better.So we do have edits by anonymous users, which is one of the most controversial and intriguing things about Wikipedia. ",0,0,0.01,0.12,0.02,0,0,0,0.97,0.59,0.61,0.75,0.39
"But after eight, I thought I could use some help.So I went out, got my friends involved, then I grew companies, got 11, and I built the foundation. ",0,0,0.03,0.12,0.02,0,0,0,0.35,0.3,0.03,0.62,0.3
"That's where we put our people in the MRI machine.And this graduate student was madly in love with another graduate student, and she was not in love with him. ",0.01,0,0.01,0.12,0.01,0,0,0,0.67,0.83,0.99,0.99,0.41
"So it was a little discouraging to the students.(Laughter)And in fact, if you look closely, right here you can see it says, ""US Peace Corps."" As it turns out, there actually wasn't any waste paper in this village. ",0,0,0.01,0.12,0.01,0,0,0,0.6,0.66,0.47,1,0.31
"As Chaucer said, ""Love is blind.""In trying to understand romantic love, I decided I would read poetry from all over the world, and I just want to give you one very short poem from eighth-century China, because it's an almost perfect example of a man who is focused totally on a particular woman. ",0,0,0.01,0.12,0.01,0,0,0,0.9,0.02,0.29,0.93,0.03
"We cannot give the data free to the students, free to the entrepreneurs of the world.""But this is what we would like to see, isn't it?",0,0,0.02,0.12,0.01,0,0,0,0.34,0.99,0.09,0.24,0.91
"And that's a huge thing.So, this is her legacy, and I think that my call to action to all of you is: think about blogs, think about what they are, think about what you've thought of them, and then actually do it, because it's something that's really going to change our lives.So, thank you.(Applause)",0,0,0.02,0.12,0,0,0,0,0.84,0.7,0.53,1,0.31
"In fact, we're very flexible about the social methodology, because ultimately, the passion of the community is for the quality of the work, not necessarily for the process that we use to generate it.Thank you.(Applause)Ben Saunders: Yeah, hi, Ben Saunders. ",0,0,0.01,0.12,0,0,0,0,0.9,0.95,0.78,0.82,0.88
"So this is a project that I just find extremely exciting and I'm really looking forward to see where it takes us.So when we talk about, now, the future we will create, one of the things that I think is necessary is to have a very clear vision of the world that we live in. ",0,0,0.01,0.12,0,0,0,0,0.74,0.17,0.03,0.71,0.07
"And the more options there are to consider, the more attractive features of these options are going to be reflected by us as opportunity costs.Here's another example.(Laughter)Now this cartoon makes a lot of points. ",0,0,0,0.12,0,0,0,0,0.93,0.51,0.68,0.58,0.53
"We believe that where the resources and expertise are scarce, innovative, sustainable design can really make a difference in people's lives.So I started my life as an architect, or training as an architect, and I was always interested in socially responsible design, and how you can really make an impact. ",0,0,0.01,0.12,0,0,0,0,0.79,0.21,0.9,0.57,0.2
All I can say is this must be God's message to you. ,0.04,0.01,0.09,0.11,0.09,0,0.78,0,0.8,0.96,0.17,0.87,0.59
"All of you here are tremendously imbued with tremendous amounts of knowledge, and what I'd like to do is invite each and every one of you to contribute to this project and other projects of its type, because I think together we can truly change the landscape of education and educational publishing.So, thanks very much.",0,0,0,0.11,0,0,0.21,0,0.91,0.94,0.57,0.82,0.36
 Like all the resources they say they need. ,0.03,0.01,0.04,0.11,0.46,0,0,0,0.88,0.73,0.47,0.46,0.71
One: state. ,0.1,0.06,0.23,0.11,0.38,0,0,0,0.3,0.28,0.55,0.6,0.41
"When you have 21 minutes to speak, two million years seems like a really long time. ",0.01,0.01,0.09,0.11,0.36,0,0,0,0,0.2,0.12,0.74,0.29
Anybody can contribute anything. ,0.16,0.04,0.1,0.11,0.32,0,0,0.97,0.39,0.28,0.51,0.6,0.29
It's really an honor and a privilege to be here spending my last day as a teenager. ,0.01,0,0.03,0.11,0.32,0,0,0,0.19,0.52,0.56,0.94,0.56
Over 100 million prescriptions of antidepressants are written every year in the United States. ,0.01,0.01,0.03,0.11,0.29,0,0,0,0.44,0.67,0.62,0.66,0.6
I was an English major in college. ,0.04,0.02,0.18,0.11,0.24,0,0,0,0.27,0.19,0.39,0.45,0.14
Quite an overlap between Africa and OECD. ,0.03,0.12,0.19,0.11,0.24,0,0,0.62,0.83,0,0.45,0.48,0
 Was he man or woman?,0.05,0.23,0.05,0.11,0.22,0,0,0,0.58,0.27,0.56,0.61,0.39
"Books that might sell 100 copies a year, 1,000 copies a year. ",0.01,0,0.04,0.11,0.22,0,0,0,0.58,0.33,0.38,0.57,0.55
Waves of electromagnetic fluctuation in a vacuum seem unreal. ,0.06,0.16,0.11,0.11,0.19,0,0,0,0.64,0.02,0.59,0.36,0.01
We need really to see it. ,0.04,0.04,0.15,0.11,0.19,0,0,0,0.05,0.65,0.29,0.82,0.34
"You will never be pleasantly surprised because your expectations, my expectations, have gone through the roof. ",0.01,0.01,0.02,0.11,0.19,0,0,0,0.27,0.59,0.78,0.67,0.61
"Within three days, we realized the problem was not housing; it was the growing pandemic of HIV/AIDS. ",0,0.01,0.11,0.11,0.19,0,0,0,0.73,0.22,0.06,0.11,0.61
You work that one out. ,0.05,0.02,0.11,0.11,0.18,0,0,0,0.35,1,0.74,0.94,0.91
"In over 175 societies, people have left their evidence of this powerful brain system. ",0.03,0.01,0.05,0.11,0.18,0,0,0,0.75,0.52,0.46,0.35,0.14
There is so much darkness and secrecy surrounding them. ,0.05,0.01,0.34,0.11,0.16,0,0,0,0.94,0.15,0.66,0.66,0
And software companies make 35 percent of their revenue from just these software upgrades. ,0,0,0.03,0.11,0.16,0,0,0,0.36,0.26,0.65,0.38,0.68
"You get into biopolymers."" They looked straight through me. ",0.05,0.02,0.03,0.11,0.15,0,0,0,0.72,0.6,0.93,0.73,0.36
You pull them or you poke them. ,0.08,0.03,0.15,0.11,0.14,0,0,0,0.69,0.43,0.68,0.67,0.66
"It's very slow.For every trend on this planet, there's a counter-trend. ",0.06,0.04,0.05,0.11,0.14,0,0,0,0.27,0.07,0.34,0.1,0.34
" So everything!"" And I turned to run. ",0.05,0.01,0.1,0.11,0.14,0,0,0,0.02,0.4,0.37,0.67,0.24
You dizzy yet?,0.05,0.05,0.14,0.11,0.14,0,0,0,0.3,0.28,0.5,0.6,0.09
And I'm going to show you slides of the exchange student. ,0.03,0.03,0.07,0.11,0.14,0,0,0,0.41,0.6,0.87,0.75,0.54
The second big enabler is intellectual property. ,0.03,0.04,0.07,0.11,0.14,0,0,0,0.53,0.3,0.83,0.34,0.56
We like to think of the Internet as a global village. ,0.03,0.01,0.08,0.11,0.14,0,0,0,0.12,0.25,0.53,0.08,0.83
"A meringue is made exactly the same way, in my estimation, as a bone. ",0.01,0.01,0.07,0.11,0.14,0,0,0,0.74,0.16,0.67,0.41,0.62
The working one is at MIT. ,0.04,0.02,0.08,0.11,0.13,0,0,0,0.34,0.23,0.38,0.26,0.55
Sometimes I get little old ladies from the Seventh Day Adventist Church showing me these cartoon pictures of heaven. ,0.02,0.01,0.04,0.11,0.13,0,0,0.5,0.41,0.03,0.34,0.52,0.07
And then users can set up their own personal watch list. ,0.02,0,0.02,0.11,0.13,0,0,0,0.42,0.35,0.41,0.26,0.48
We continued to increase the reward. ,0.04,0.04,0.03,0.11,0.12,0,0,0,0.16,0.33,0.46,0.61,0.77
"We're in many, many languages. ",0.03,0.04,0.1,0.11,0.12,0,0,0,0.42,0.27,0.54,0.6,0.25
And the controversy is global warming. ,0.03,0.03,0.07,0.11,0.12,0,0,0,0.82,0.26,0.62,0.56,0.35
" We know the rules, you write the code and you get the results. ",0.03,0,0.03,0.11,0.12,0,0,0,0.77,0.88,0.58,0.38,0.96
But it's part of the puzzle. ,0.03,0.01,0.06,0.11,0.12,0,0,0,0.95,0.3,0.01,0.18,0.25
Consider sending somebody to Nashville. ,0.17,0.07,0.05,0.11,0.11,0.84,0,0,0.45,0.27,0.69,0.72,0.5
You've got nowhere to go. ,0.06,0.03,0.06,0.11,0.11,0,0,0,0,0.26,0.42,0.57,0.29
You never see that. ,0.05,0.03,0.11,0.11,0.11,0,0,0,0.25,0.78,0.56,0.85,0.83
 Open-source architecture is the way to go. ,0.05,0,0.11,0.11,0.11,0,0,0,0.23,0.31,0.5,0.26,0.77
"One dollar, 10 dollars or 100 dollars per day. ",0.03,0.03,0.06,0.11,0.11,0,0,0,0.12,0.28,0.54,0.61,0.43
It's a wild card for disarming any reasonable criticism. ,0.03,0.01,0.14,0.11,0.11,0,0,0,0.76,0.28,0.45,0.35,0.84
And we had an exhibit of work that followed that. ,0.02,0,0.08,0.11,0.11,0,0,0,0.97,0.96,0.5,0.91,0.77
How many people have heard of creative commons?,0.02,0.05,0.03,0.11,0.11,0,0,0,0.39,0.23,0.7,0.69,0.2
You drive different. ,0.16,0.02,0.09,0.11,0.1,0,0,0,0.47,0.3,0.66,0.63,0.62
"In fact, we moved from Stratford to Los Angeles. ",0.04,0.02,0.08,0.11,0.1,0,0,0,0.11,0.25,0.34,0.65,0.31
There's a little hump here. ,0.04,0.03,0.06,0.11,0.1,0,0,0,0.39,0.21,0.52,0.63,0.12
This was an enormous revelation. ,0.04,0.03,0.06,0.11,0.1,0,0,0,0.85,0.26,0.57,0.61,0.23
 Not 10 years ago. ,0.04,0.03,0.06,0.11,0.1,0,0,0,0.06,0.27,0.52,0.6,0.31
